School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"Kansas State University (Manhattan, KS) ",1997,25797,6086,7077,1182,10438,120655,109337,32903
"Kansas State University (Manhattan, KS) ",1998,27117,13932,3824,2583,5858,133891,117653,31978
"Kent State University (Kent, OH) ",1990,5751112,583327,1380446,2084539,1061815,104872,85000,5124
"Kent State University (Kent, OH) ",1991,5792774,631845,2150402,1002413,1222172,102677,102677,5567
"Kent State University (Kent, OH) ",1992,6804644,960909,1627965,1590843,1772939,106663,106663,9236
"Kent State University (Kent, OH) ",1993,5907940,961289,1289307,1040934,1903175,110103,106000,8320
"Kent State University (Kent, OH) ",1995,5729,814,1242,969,2584,114668,63710,8974
"Kent State University (Kent, OH) ",1996,7290,1190,1999,1570,2208,118813,36314,10612
"Kent State University (Kent, OH) ",1997,10406,1265,2592,1668,4718,123376,123376,11900
"Kent State University (Kent, OH) ",1998,11517,3290,2750,1461,3552,146985,118519,12164
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1990,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1991,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1992,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1993,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1995,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1996,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1997,,,,,,,,
"Louisiana State University - Baton Rouge (Baton Rouge, LA) ",1998,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1990,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1991,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1992,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1993,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1995,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1996,6409,5019,856,1,477,47687,43334,3696
"Louisiana Tech University (Ruston, LA) ",1997,,,,,,,,
"Louisiana Tech University (Ruston, LA) ",1998,4911,2944,417,256,1031,49256,42877,3251
"Marshall University (Huntington, WV) ",1990,,,,,,,,
"Marshall University (Huntington, WV) ",1991,4709621,689584,2472870,468217,950661,46800,46800,4047
"Marshall University (Huntington, WV) ",1992,5363969,2274857,853039,889144,1023991,51000,51000,5497
"Marshall University (Huntington, WV) ",1993,4392004,1357597,1144847,221530,1291938,,,6053
"Marshall University (Huntington, WV) ",1995,4639,1775,1323,540,930,56000,56000,7156
"Marshall University (Huntington, WV) ",1996,,,,,,,,
"Marshall University (Huntington, WV) ",1997,6165,1761,1760,962,1473,57835,57835,9855
"Marshall University (Huntington, WV) ",1998,4867,1631,1054,1107,986,57835,57835,12422
"Miami University (Oxford, OH) ",1990,10111479,5155843,1271584,803177,2340692,93169,69606,23099
"Miami University (Oxford, OH) ",1991,9958328,3958885,2152996,704023,2252696,97188,69045,24481
"Miami University (Oxford, OH) ",1992,17699810,11397349,1822824,330232,2657818,98804,62563,21257
"Miami University (Oxford, OH) ",1993,11289270,5244782,1697445,492669,3056894,102357,71452,20950
"Miami University (Oxford, OH) ",1995,15005,7549,2685,1043,2715,104778,66000,19829
"Miami University (Oxford, OH) ",1996,15005,7549,2685,1043,2715,104778,66000,19829
"Miami University (Oxford, OH) ",1997,25030,12517,6120,1867,2606,115964,66000,21622
"Miami University (Oxford, OH) ",1998,19656,7298,7275,1693,1890,133237,61721,21316
"Michigan State University (East Lansing, MI) ",1990,50077473,6025018,5244692,7029121,26557951,304900,207517,40395
"Michigan State University (East Lansing, MI) ",1991,53553876,7269160,5489912,6263618,29708757,316346,210500,29802
"Michigan State University (East Lansing, MI) ",1992,50470283,7533952,4489026,6526758,29893691,324349,251550,32788
"Michigan State University (East Lansing, MI) ",1993,50974985,7836706,4390300,8409130,27350025,333930,153163,34572
"Michigan State University (East Lansing, MI) ",1995,50157,8949,4760,5749,28226,340251,161111,32076
"Michigan State University (East Lansing, MI) ",1996,58025,10989,4932,8222,30274,357868,166200,34393
"Michigan State University (East Lansing, MI) ",1997,71649,14804,13444,6408,33356,249237,151897,35886
"Michigan State University (East Lansing, MI) ",1998,92345,29637,15728,12490,31177,272252,155000,34720
"Middle Tennessee State University (Murfreesboro, TN) ",1990,,,,,,,,
"Middle Tennessee State University (Murfreesboro, TN) ",1991,1828965,608551,592224,57975,327093,,,
"Middle Tennessee State University (Murfreesboro, TN) ",1992,2190662,451872,607610,530579,435610,40225,40225,3117
"Middle Tennessee State University (Murfreesboro, TN) ",1993,,,,,,,,
"Middle Tennessee State University (Murfreesboro, TN) ",1995,2752,421,654,48,1004,51550,10390,3817
"Middle Tennessee State University (Murfreesboro, TN) ",1996,4563,512,3135,42,867,49701,49701,5373
"Middle Tennessee State University (Murfreesboro, TN) ",1997,7196,527,4123,33,1444,50686,50686,4876
"Middle Tennessee State University (Murfreesboro, TN) ",1998,4113,1371,1698,104,761,51742,51742,5770
"Mississippi State University (Mississippi State, MS) ",1990,11184588,6857723,0,0,4326865,69780,54223,18584
"Mississippi State University (Mississippi State, MS) ",1991,11121674,6124514,0,0,4997160,57193,57193,10562
"Mississippi State University (Mississippi State, MS) ",1992,9751427,4920713,586110,0,4244604,60351,57476,11883
"Mississippi State University (Mississippi State, MS) ",1993,14104071,8039320,705204,987285,3808099,58237,58237,12107
"Mississippi State University (Mississippi State, MS) ",1995,20244,14000,1142,1430,3370,70464,70464,13743
"Mississippi State University (Mississippi State, MS) ",1996,23053,16064,1148,1187,4400,72303,72303,15227
"Mississippi State University (Mississippi State, MS) ",1997,27546,7480,3636,6093,8879,73175,73175,13591
"Mississippi State University (Mississippi State, MS) ",1998,22475,8665,3879,2043,7355,87122,87122,18018
"New Mexico State University (Las Cruces, NM) ",1990,,,,,,,,
"New Mexico State University (Las Cruces, NM) ",1991,2170868,438630,574936,180390,865066,40752,40752,4514
"New Mexico State University (Las Cruces, NM) ",1992,3779823,767937,1548039,250462,962244,43654,43654,5165
"New Mexico State University (Las Cruces, NM) ",1993,2754090,496615,986553,249818,701115,53494,53494,5654
