unitid,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6
"102100","1","1","25","25","","1","","","","","2673","2673","5148","","","","2754","2754","5310","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102216","1","2","","","","","1","","","","3150","3150","3150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102234","1","1","25","25","","","1","","","","13890","13890","13890","","","","3623","3623","3623","","","","","","","","","","","","","","","","","","","","","","","","","","","1","764","1","19","","2630","2470","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102261","1","2","","","","1","","","","","5580","5580","5580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","75","1","15","","","","1","3040","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102270","1","1","25","","","","1","","","","5460","5460","5460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","578","1","10","","1260","2096","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102298","1","1","10","","","","1","","","","5949","5949","5949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","744","1","21","","1684","1540","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102313","1","2","","","","1","","","","","1293","1293","2349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102322","1","1","20","20","","1","","","","","2184","2184","4368","","","","2286","2286","4572","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102331","1","1","20","20","","","1","","","","2250","2250","4305","","","","1965","1965","3735","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102359","1","1","15","","","","1","","","","2085","2085","4140","","","","1902","1902","3774","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102368","1","1","20","20","","","1","","","","2250","2250","4305","","","","1965","1965","3735","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1722","1","14","","1680","1680","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
